                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1856,                 3.6921,                 1.7947,                0.60764,                0.40197,                0.43576,                0.20294,                 2.1046,                 1.9337,                 1.6809,             0.00023748,             0.00023748,             0.00023748
                      2,                 2.1044,                 2.3977,                 1.7604,                0.61961,                0.40687,                0.42673,                0.16347,                 2.1363,                 2.0131,                 1.7559,             0.00047391,             0.00047391,             0.00047391
                      3,                 2.0652,                 2.1999,                  1.758,                 0.4949,                0.41543,                0.41401,                0.16808,                 2.1768,                 2.1609,                 1.7253,             0.00070877,             0.00070877,             0.00070877
                      4,                 2.0614,                 2.1285,                 1.7424,                0.73027,                0.37064,                0.42347,                0.19022,                 2.0589,                 2.0032,                 1.6497,             0.00070693,             0.00070693,             0.00070693
                      5,                 1.9975,                 2.0491,                 1.7052,                0.58823,                0.43179,                0.46396,                 0.2199,                 1.9905,                 2.0286,                 1.6491,             0.00070693,             0.00070693,             0.00070693
                      6,                 1.9439,                 2.0117,                 1.6856,                0.44525,                0.55678,                0.47477,                0.23375,                 2.0218,                 1.8442,                 1.6448,             0.00070458,             0.00070458,             0.00070458
                      7,                  1.937,                 1.9048,                 1.6634,                0.58288,                0.48065,                0.45248,                0.21696,                 2.0765,                 1.8586,                 1.6401,             0.00070222,             0.00070222,             0.00070222
                      8,                 1.9057,                 1.8938,                 1.6365,                0.59093,                0.55592,                0.52813,                0.25257,                 2.0483,                 1.7386,                 1.6514,             0.00069986,             0.00069986,             0.00069986
                      9,                 1.8801,                 1.8063,                 1.5957,                 0.6203,                0.52569,                0.52707,                0.25026,                 1.9981,                 1.9254,                 1.6275,             0.00069751,             0.00069751,             0.00069751
                     10,                 1.8596,                 1.8044,                 1.5883,                0.63463,                0.53438,                0.49618,                0.24212,                  1.989,                 1.7707,                 1.6126,             0.00069515,             0.00069515,             0.00069515
